Food Name,Category,Calories,Carbs,Fats,Protein,Fiber,GI,GL,Insulin Index,Magnesium,Potassium,Sodium,Calcium,Iron,Vitamin D,Vitamin C,Folate,Vegan/Vegetarian,Processed Level,recommendation,prepration_method,portion_guidance
Poha,Breakfast,250,45.6,8.2,6.5,3.5,38,6.7,74.8,74,326,98,143,0.8,2.9,,15,Vegetarian,minimally processed,ideal_diabetic_food,stir_fried,moderate_portion
Upma,Breakfast,120,22.1,3.8,3.1,1.9,55,12.2,60,15,80,250,15,0.8,0,1,15,Vegan,minimally processed,suitable_for_controlled_diabetes,stir_fried,moderate_portion
Idli,Breakfast,60,12.5,0.6,2.5,1.2,36,4.5,35,8,50,60,10,0.3,0,0,5,Vegetarian,minimally processed,ideal_diabetic_food,"steamed , fermented",regular_portion
Dosa,Breakfast,150,25.8,4.2,4.1,1.8,37,9.5,45,25,100,350,20,0.8,0,0,10,Vegetarian,minimally processed,suitable_for_controlled_diabetes,"stir_fried, fermented",regular_portion
Paratha,Breakfast,300,45,9,7,4,65,29.9,85,40,120,400,30,2,0,0,25,Vegetarian,minimally processed,occasional_consumption,stir_fried,small_portion
Aloo Puri,Breakfast,280,38,12,5,3,68,25.8,75,30,200,300,400,1.5,0,5,20,Vegetarian,minimally processed,"avoid , minimal_consumption",deep_fried,small_portion
Dal Khichdi,Lunch,140,22,4,6,3,52,11.4,45,35,150,200,30,1.2,0,1,50,Vegan,Minimally Processed,ideal_diabetic_food,boiled,regular_portion
Paneer Butter Masala,Lunch,220,8,18,12,2,40,3.2,60,30,150,300,200,1.5,0.5,5,30,Vegetarian,moderately processed,"avoid , minimal_consumption",deep_fried,small_portion
Chole Bhature,Dinner,280,35,12,8,5,55,19.3,70,40,200,400,60,2.5,0,3,80,Vegetarian,Highly Processed,suitable_for_controlled_diabetes,boiled,moderate_portion
Rajma Chawal,Lunch,130,20,3,6,4,48,9.6,45,35,200,300,40,1.8,0,2,80,Vegetarian,Minimally Processed,ideal_diabetic_food,roasted,regular_portion
Baingan Bharta,Dinner,120,8,7,3,4,35,2.8,30,25,200,300,30,1.2,0,5,40,Vegan,minimally processed,suitable_for_controlled_diabetes,stir_fried,moderate_portion
Palak Paneer,Dinner,180,6,12,10,3,30,1.8,40,50,300,400,200,2.5,0.2,1.5,80,Vegetarian,Minimally Processed,suitable_for_controlled_diabetes,stir_fried,moderate_portion
